stationame,longitude,latitude,jan,feb,mar,apr,may,jun,jul,aug,sep
Medical Center,-87.673932,41.875706,-0.410363173,-0.274630707,-0.790984752,-0.476789442,-0.102701392,-0.139771925,-0.246762989,-0.159737367,-0.130498661
Merchandise Mart,-87.633924,41.888969,3.386112952,3.249403615,1.830030421,0.710735148,0.905154235,0.826099663,0.304596185,0.444249689,0.133408841
Midway Airport,-87.737875,41.78661,-0.163038591,-0.24468084,-1.63906624,-1.378274187,-1.425547077,-1.310144099,-0.541147833,-0.683545446,-0.489751852
Monroe/Dearborn,-87.629378,41.880703,-0.410744513,-0.371046229,-0.465661502,-0.385903773,-0.343264311,-0.169817536,0.101453996,-0.163351008,-0.156124268
Monroe/State,-87.627696,41.880745,-0.672511071,-0.642608512,-1.231400451,-1.137086963,-1.184479798,-1.096239837,-0.632131641,-0.655987074,-0.466985149
Montrose-Brown,-87.743574,41.961539,-1.324632628,-1.391889212,-1.234420493,-1.03908644,-1.122425554,-1.08800809,-0.605071908,-0.634390588,-0.436808693
Montrose-O'Hare,-87.675047,41.961756,0.232075214,0.149315636,-0.748955159,-0.833765159,-0.740463077,-0.646525298,-0.194421771,-0.379813889,-0.271595876
Morgan-Lake,-87.652193,41.885586,-0.757843065,-0.936202884,-0.49206718,-0.525579126,-0.537664765,-0.562920141,-0.43151577,-0.428677839,-0.35954409
Morse,-87.665909,42.008362,1.268948306,1.89032945,-0.553391832,-0.886267148,-0.90609824,-0.707965706,-0.353906326,-0.325600111,-0.202280986
North/Clybourn,-87.649177,41.910655,-0.59623153,-0.204977869,0.074147394,0.061909707,0.209979349,0.181929532,-0.06136894,0.069419027,-0.009038733
Noyes,-87.683337,42.058282,-0.558391081,-0.723863731,-0.722089106,-0.628270849,-0.696130731,-0.579822642,-0.31798077,-0.276377644,-0.201263054
O'Hare Airport,-87.90422307,41.97766526,-0.772254317,-0.623542236,-1.011946061,-0.989604792,-1.004870454,-0.837526455,-0.528577878,-0.397755649,-0.30380868
Oak Park-Forest Park,-87.791602,41.872108,-0.665312985,-0.632608596,-0.036207462,-0.025463547,-0.200326751,-0.230691236,-0.301980564,-0.211980243,-0.145085953
Oak Park-Lake,-87.793783,41.886988,-0.556525635,-0.582057344,-0.567659843,-0.695678413,-0.691890813,-0.681327807,-0.447317655,-0.442076857,-0.333817989
Oakton-Skokie,-87.74722084,42.02624348,-0.158686939,0.049945685,-0.802374279,-0.796933055,-0.73214495,-0.645641495,-0.389569874,-0.347673455,-0.267207471
Paulina,-87.670907,41.943623,-0.324565873,-0.302279868,-0.257659241,-0.116617836,0.090020132,-0.052467979,-0.305923334,-0.301815753,-0.255605602
Polk,-87.66953,41.871551,0.71322986,0.817754057,-0.674054327,-0.800538209,-0.805872473,-0.660137267,-0.184063143,-0.370034592,-0.267854034
Pulaski-Cermak,-87.724493,41.799756,0.983700523,0.701466326,0.256175692,-0.139301576,0.057076421,0.331726317,0.092644553,0.138144865,0.099284523
Pulaski-Forest Park,-87.724311,41.853732,1.038237948,0.469247932,1.831784567,1.751516263,1.659197134,1.595144963,0.637222456,0.804874494,0.486393698
Pulaski-Lake,-87.725663,41.873797,0.684080858,0.938206873,3.136194987,2.975565178,2.841951683,2.476468382,0.868733139,1.013993915,0.694475174
Pulaski-Orange,-87.725404,41.885412,1.106519575,1.206464244,2.217390692,2.614022628,2.391414992,1.995994721,0.741028364,1.134925254,0.613571364
Quincy/Wells,-87.63374,41.878723,0.716577359,0.355335354,0.014084845,-0.352637923,-0.383556762,0.027143391,0.350751097,0.065101658,-0.077795745
Racine,-87.659458,41.87592,1.042536605,1.059509789,-0.899915984,-1.130765624,-1.209640747,-1.15710272,-0.491946894,-0.650210811,-0.464213662
Ridgeland,-87.783661,41.887159,0.661537061,0.604692283,-0.403682274,-0.6241137,-0.805089407,-0.758835001,-0.326222502,-0.285635851,-0.352116269
Rockwell,-87.6941,41.966115,-0.369556268,0.239508487,4.940918376,8.073753392,9.705821879,7.627612086,2.069913493,1.510100355,0.976386033
Roosevelt,-87.62659,41.867405,-0.043732884,-0.023656311,-0.773772588,-0.518654875,-0.592704775,-0.552098256,-0.408291235,-0.394095937,-0.302474805
Rosemont,-87.859388,41.983507,-0.055358568,0.315023659,-0.805609838,-0.921552914,-0.868749381,-0.696670636,-0.197085924,-0.458858544,-0.35630923
Sedgwick,-87.639302,41.910409,-0.003601512,0.613118343,0.231370969,0.124630013,0.120150333,0.016613603,-0.098175599,-0.092563945,-0.034644492
Sheridan,-87.654929,41.953775,-0.969022735,-0.922338851,-0.351200541,-0.109213903,-0.002882832,-0.126143625,-0.172936483,-0.029448462,-0.142467022
South Boulevard,-87.678329,42.027612,0.74962373,0.923344422,-0.696884991,-0.679915632,-0.733899669,-0.67121571,-0.195507249,-0.405525804,-0.269729197
Southport,-87.663619,41.943744,0.022788281,-0.091696433,-0.790208472,-0.705301735,-0.724848653,-0.623545956,-0.364309664,-0.308956063,-0.231605203
Sox-35th-Dan Ryan,-87.630636,41.831191,0.939520317,0.637069354,0.299468795,0.126813142,0.318765596,0.235126762,-0.11853707,-0.071897169,-0.060165297
State/Lake,-87.627835,41.88574,-0.095315431,-0.078076232,-1.345054641,-1.220018145,-1.217346964,-1.0084662,-0.422506388,-0.528053923,-0.416234195
Thorndale,-87.659076,41.990259,0.03647397,-0.176976934,0.133762799,-0.260756798,-0.54681673,-0.970470598,-0.563562309,-0.57218131,-0.342003266
UIC-Halsted,-87.649707,41.875474,1.019897992,0.590647254,-0.771888082,-0.862730446,-0.794511536,-0.738821988,-0.138091072,-0.320321366,-0.286783659
Washington/Dearborn,-87.62944,41.883164,-1.568634965,-3.247029762,-0.82610825,-0.460841156,-0.301408462,-0.207778617,-0.264943767,-0.410203929,-0.182380156
Washington/Wabash,-87.626189,41.88322,1.065645551,0.242925848,-0.269562977,-1.100212536,-0.736299684,-0.603356592,-0.414577945,-0.436011581,-0.486279792
Washington/Wells,-87.63378,41.882695,-0.415152843,-0.274564509,-1.129396499,-1.060287549,-1.108800702,-0.953213543,-0.503415862,-0.512477367,-0.361392666
Wellington,-87.653266,41.936033,-5.702576534,-5.002165829,-2.701873071,-1.082805715,-1.070478184,-0.895603451,-0.455291797,-0.589798481,-0.252192431
Western-Brown,-87.684019,41.804546,0.422620204,0.572596248,-0.872747316,-0.987953183,-1.003187533,-0.864040557,-0.327122207,-0.54706392,-0.386155127
Western-Cermak,-87.685129,41.854225,0.416428399,0.540224499,-0.773326249,-0.858663576,-0.754356533,-0.680115612,-0.201264337,-0.391738681,-0.280881144
Western-Forest Park,-87.688502,41.966163,0.486885533,0.46267915,-0.297340943,-0.558562672,-0.475308282,-0.292888188,0.039694312,-0.150752199,-0.107018453
Western-Orange,-87.687364,41.916157,0.403823685,-0.204990766,0.694962357,0.859788414,0.840023767,1.04061529,0.378755168,0.545275719,0.305985701
Western/Milwaukee,-87.688436,41.875478,0.830868474,0.425449429,0.711913572,0.424814213,0.354166417,0.496762295,0.041034778,0.160775367,-0.046889943
Wilson,-87.657588,41.964273,0.26160717,0.238862188,0.417766186,0.092737311,0.159122212,0.411617604,0.583005507,0.213016793,0.093113292
,,,0.762110556,0.862854764,-0.516076317,-0.89313853,-0.899415444,-0.672913535,-0.44129435,-0.410901466,-0.290679873
,,,1.03313578,0.992164456,0.702943116,0.283056463,0.483017833,0.775466126,0.056283042,0.186731461,0.037625403
