stationame,1,2,3,4,5,6,7,8,9,10,11,12
Jarvis,-0.049006174,-0.069951493,-0.439125983,-0.796830737,-0.817844212,-0.797983471,-0.700384101,-0.567888674,-0.548473789,,,
Jefferson Park,0.031356525,-0.004730145,-0.409867507,-0.808925768,-0.820336829,-0.764368739,-0.67072621,-0.532556473,-0.529417282,,,
Kedzie-Brown,0.038763246,-0.005269641,-0.459851134,-0.867156164,-0.861559908,-0.786432214,-0.429286579,-0.551552629,-0.554965251,,,
Kedzie-Cermak,0.00318307,-0.040151129,-0.377130658,-0.745915127,-0.797531969,-0.73961115,-0.591177328,-0.432686888,-0.619452224,,,
Kedzie-Homan-Forest Park,0.040979955,-0.007625738,-0.293331337,-0.645585953,-0.72298042,-0.702109553,-0.583912045,-0.464706462,-0.433369435,,,
Kedzie-Lake,-0.009960745,-0.01861718,-0.33235467,-0.687831234,-0.76,-0.691194276,-0.553349104,-0.405036864,-0.428553488,,,
Kedzie-Midway,0.0317968,-0.009274413,-0.412747338,-0.826652873,-0.842934754,-0.769955662,-0.493895728,-0.520516956,-0.537987272,,,
Kimball,0.046444293,0.000498072,-0.43917535,-0.852017853,-0.848880892,-0.766016251,-0.572508109,-0.548382394,-0.557692253,,,
King Drive,-0.076571517,-0.078788201,-0.292322996,-0.602308827,-0.632520478,-0.498750119,-0.254351515,0.112469207,0.139870806,,,
Kostner,-0.056637449,-0.104090869,-0.354825885,-0.673317552,-0.749040381,-0.700416809,-0.586204191,-0.427531562,-0.421165605,,,
Lake/State,-0.033058983,-0.068348415,-0.539172497,-0.925514025,-0.933305628,-0.910376034,-0.850655321,-0.806463204,-0.773051867,,,
Laramie,0.030659278,-0.032621095,-0.305166654,-0.679107307,-0.736551756,-0.650003602,-0.518045279,-0.290848718,-0.298479178,,,
LaSalle,-0.023526399,-0.026604623,-0.523618773,-0.933799899,-0.924938641,-0.887466536,-0.837233604,-0.792750749,-0.74932992,,,
LaSalle/Van Buren,0.117991075,0.062869755,-0.504047093,-0.926538356,-0.931397233,-0.890360261,-0.783667589,-0.808895626,-0.771529409,,,
Lawrence,-0.112848716,-0.136075714,-0.512266522,-0.867544135,-0.881842625,-0.885831587,-0.781098697,-0.679146474,-0.656079521,,,
Library,0.150522536,0.149623293,-0.442312782,-0.880507973,-0.888304798,-0.84651736,-0.684995208,-0.719897132,-0.691686725,,,
Linden,0.082970901,-0.028942274,-0.523943215,-0.887786194,-0.898542018,-0.872771607,-0.834743903,-0.790029703,-0.740144048,,,
Logan Square,0.000759264,-0.034578119,-0.534970887,-0.925487692,-0.925399356,-0.887151104,-0.81821717,-0.74753492,-0.714629999,,,
Loyola,0.124199353,0.045787948,-0.519845909,-0.87204773,-0.85998581,-0.835648262,-0.748058282,-0.618556126,-0.662843398,,,
Madison/Wabash,,,,,,,,,,,,
Main,-0.003296167,-0.039849674,-0.518926218,-0.884560869,-0.860793448,-0.82665842,-0.770122425,-0.672922357,-0.642234289,,,
Medical Center,0.30336316,0.233289627,-0.281637928,-0.761710448,-0.772344301,-0.723863723,-0.586836556,-0.42952362,-0.489110439,,,
Merchandise Mart,0.016681409,-0.037528333,-0.595705555,-0.977820226,-0.976886041,-0.951217475,-0.867983465,-0.884010035,-0.850679414,,,
Midway Airport,-0.003326969,-0.047322606,-0.489473738,-0.87515867,-0.881905188,-0.82985608,-0.654366207,-0.674378606,-0.657102725,,,
Monroe/Dearborn,-0.024471092,-0.068370736,-0.55879836,-0.952869204,-0.95573004,-0.928452312,-0.898228807,-0.872904378,-0.837469766,,,
Monroe/State,-0.077146033,-0.126445655,-0.559071773,-0.942730968,-0.950284175,-0.927576233,-0.889233461,-0.864201282,-0.819960847,,,
Montrose-Brown,0.048596619,-0.006990628,-0.515121154,-0.921490308,-0.916763248,-0.880590598,-0.752722868,-0.761610263,-0.724101417,,,
Montrose-O'Hare,-0.03136376,-0.09112652,-0.491864322,-0.889608203,-0.898965721,-0.871692763,-0.831538968,-0.781301784,-0.775130542,,,
