stationame,1,2,3,4,5,6,7,8,9,10,11,12
North/Clybourn,155063,150934,169138,166227,173409,169192,172166,176461,182424,193100,174926,167436
Noyes,20640,20895,21202,23139,22439,22014,22987,19400,20622,25367,20833,16580
O'Hare Airport,248462,229228,219763,275372,325223,312493,337021,336105,314861,333763,294413,289792
Oak Park-Forest Park,39679,40532,44804,48527,47679,47354,49574,49148,49503,53302,42887,43364
Oak Park-Lake,35094,35845,41727,43304,44944,46203,48048,46702,45444,47308,38012,38094
Oakton-Skokie,20267,20711,23596,25441,24854,25237,28200,27433,28640,29734,23956,23056
Paulina,69175,69411,77504,74521,74748,75202,76428,73816,73542,78012,65999,66605
Polk,73075,76887,82139,84092,78405,77719,81766,79686,86552,93061,74187,70167
Pulaski-Cermak,30100,30885,34758,34836,35927,34796,35517,34874,36539,38692,32791,34267
Pulaski-Forest Park,47455,47772,53139,50765,53946,53690,57140,57918,59894,61563,51601,52789
Pulaski-Lake,41234,42356,48906,49646,53215,50588,53557,53810,55827,58685,48844,49655
Pulaski-Orange,106300,116662,131650,129970,130293,128424,125284,126723,145557,155075,122597,122098
Quincy/Wells,185383,179857,199322,201403,193393,195003,205556,193308,191405,210197,166251,167275
Racine,56260,60918,68889,63213,70351,59149,53571,56494,73371,77491,59959,58065
Randolph/Wabash,158514,162207,190235,188226,188443,194282,208648,200805,186444,203943,175805,185070
Ridgeland,27838,28593,31636,33187,33202,34633,35794,34457,34699,37069,29647,30544
Rockwell,47450,47108,51310,50186,49830,48956,49512,45534,48161,50696,42565,44441
Roosevelt,264324,281324,331374,330491,363020,336474,356811,348317,339735,363052,320786,306073
Rosemont,131311,131341,199598,160233,178322,184479,202214,197799,189267,195711,160296,160406
Sedgwick,91711,91140,104738,101797,108260,118277,114182,111722,106816,115604,90460,93102
Sheridan,140571,140727,156966,155409,157583,155505,152790,152289,160262,169974,145115,136232
South Boulevard,19801,19757,21892,22667,22609,22657,22584,22066,21976,23138,19745,20497
Southport,83101,80662,91815,89254,89795,94011,94935,90333,93334,95693,78345,79252
Sox-35th-Dan Ryan,94360,105121,124521,149142,161310,143981,150821,167846,160086,149835,122592,116753
State/Lake,216467,225101,266014,263736,251990,264457,279712,269567,279292,297857,245923,232090
Thorndale,76715,79231,87483,82553,87198,80646,79557,79131,88033,94739,80016,79466
UIC-Halsted,131804,159442,156023,173562,110805,93448,102351,118997,187470,202553,156045,102608
Washington/Dearborn,252944,256430,288782,278638,286495,293678,311158,295912,286907,309950,273137,297768
Washington/Wells,168736,164334,177960,179813,172515,175057,179534,168716,174112,192285,152716,157981
Wellington,76712,74637,82058,80411,77523,86576,81099,79607,77953,84612,68588,67014
Western-Brown,107297,106809,120451,117198,121302,115410,118310,119900,117026,121018,103419,107019
Western-Cermak,28875,29611,33701,32694,32871,31755,33310,33440,35385,37367,31545,32278
Western-Forest Park,40425,42604,47801,45962,49205,44865,45278,45865,52792,54850,44484,42727
Western-Orange,83943,88785,100986,98928,98450,96813,119216,119933,128022,135903,111575,111227
Western/Milwaukee,123596,125563,155474,189237,166120,161363,146305,144647,189835,200889,168295,161099
Wilson,154688,161510,172459,167540,163050,158120,152844,159790,183443,194646,159586,146967
